description,category
bought T-shirt from Local Mall,shopping
house rent for september,rent
loan EMI deduction,bills
Home Centre - new bedsheet purchase from Home Centre,home
"Local Kirana - bread, butter, cereal from Local Kirana",groceries
Nykaa,personal_care
concert ticket booking - Rs 100,entertainment
stationery purchase at College Fee,education
KFC order - burger and fries bought for home use,food
water bill payment - Rs 499,utilities
Home Centre,home
Ikea - floor cleaner and mop bought because needed - Rs 150,home
kitchen utensils from Ikea,home
renewed subscription - Spotify got it during sale,subscription
gift box chocolates,gifts
College Fee,education
loan EMI deduction purchased from nearby store,bills
concert ticket booking,entertainment
bought flowers from Gift Shop bought because needed,gifts
Shell Fuel - petrol full tank paid for,auto
College Fee - exam form fee,education
mobile postpaid bill BSNL,utilities
wallet topup Bank Transfer ordered online,finance
membership renewal Amazon Prime,subscription
BSNL - BSNL electricity bill,utilities
Amazon - ordered power bank from Amazon,electronics
car wash and cleaning,auto
bus ticket to city bought because needed,travel
Coursera,education
home decor items,home
freelance payment client xyz paid for,salary
Dominos order - burger and fries,food
car wash and cleaning,auto
birthday gift for friend paid for,gifts
Coursera - python course paid for - Rs 1200,education
Croma - tempered glass screen protector purchased from nearby store,electronics
security deposit for rent,rent
salary credited - ACME Corp,salary
doctor consult,health
exam form fee bought because needed,education
Paytm Wallet - NEFT received,finance
water bill payment,utilities
bike service at HP Petrolpump bought for home use,auto
college fee payment bought because needed,education
flight ticket to delhi,travel
bank transfer to friend,finance
ordered power bank from Mi Store,electronics
membership renewal Amazon Prime purchased from nearby store,subscription
Local Home Store,home
new backpack from Zara,shopping
YouTube Premium monthly subscription bought for home use,subscription
stationery purchase at Coursera,education
upi payment,finance
internet recharge via Jio,utilities
internet recharge via Jio,utilities
engine oil change at Shell Fuel,auto
lab test at Apollo Pharmacy bought for home use,health
renewed subscription,subscription
emi deducted - Water Supply - internet recharge via Water Supply,utilities
new backpack from Lifestyle bought because needed,shopping
internet recharge via Jio - Rs 1200,utilities
Myntra - sneakers purchase paid for,shopping
House Rent - apartment rent monthly,rent
anniversary gift shopping got it during sale - Rs 100,gifts
dinner at Zomato with friends - Rs 150,food
home decor items,home
renewed subscription - YouTube Premium paid for,subscription
rent payment to landlord - Rs 150,rent
car wash and cleaning ordered online,auto
stationery purchase at Coursera ordered online,education
birthday gift for friend,gifts
Play Store movie ticket,entertainment
YouTube Premium monthly subscription,subscription
"Big Bazaar - bread, butter, cereal from Big Bazaar",groceries
Nykaa - sunscreen spf 50,personal_care
"DMart - milk, eggs, vegetables",groceries
perfume Beauty Store,personal_care
Coursera - stationery purchase at Coursera,education
gift box chocolates ordered online,gifts
kitchen utensils from Local Home Store ordered online,home
Electricity Board - Electricity Board electricity bill,utilities
Steam movie ticket,entertainment
doctor consult - fever bought because needed,health
dinner at Swiggy with friends,food
dinner at Pizza Hut with friends got it during sale,food
Play Store - Play Store movie ticket,entertainment
Spotify monthly subscription,subscription
credit card repayment purchased from nearby store,bills
breakfast - paratha and chai bought because needed - Rs 499,food
breakfast,food
train booking via IRCTC - Rs 100,travel
ott subscriptn rental purchased from nearby store - Rs 499,entertainment
wallet topup Bank Transfer,finance
Swiggy order - burger and fries,food
Beauty Store - sunscreen spf 50,personal_care
Local Mall,shopping
security deposit for rent - Rs 100,rent
late night snack from Food Stall,food
renewed subscription - Amazon Prime,subscription
game purchase on Steam - Rs 50,entertainment
Lifestyle online,shopping
"Nature's Basket - bread, butter, cereal from Nature's Basket",groceries
Zara online,shopping
Practo - lab test at Practo - Rs 299,health
BSNL - mobile postpaid bill BSNL,utilities
TataCliq - tempered glass screen protector paid for,electronics
face wash and moisturizer from Sephora,personal_care
Local Mall online - Rs 199,shopping
late fee payment ordered online,bills
exam form fee,education
renewed subscription - Netflix paid for,subscription
mobile postpaid bill Water Supply,utilities
late fee payment,bills
bhai petrol bharwaya - kitchen utensils from Local Home Store ordered online,home
NEFT received - Rs 499,finance
rent payment to landlord,rent
monthly groceries from Big Bazaar bought because needed,groceries
"bread, butter, cereal from Local Kirana purchased from nearby store",groceries
stationery purchase at Udemy purchased from nearby store,education
House Rent - house rent for september - Rs 150,rent
mobile postpaid bill Water Supply bought for home use,utilities
late night snack from Dominos,food
bought flowers from Gift Shop,gifts
car wash and cleaning,auto
Zara - sneakers purchase,shopping
Spencer's - monthly groceries from Spencer's,groceries
Maintenance - loan EMI deduction,bills
Home Centre - new bedsheet purchase from Home Centre,home
Shell Fuel,auto
fruits and veg purchase at DMart,groceries
MakeMyTrip ride to airport,travel
Ikea,home
late night snack from McDonald's - Rs 299,food
apartment rent monthly bought for home use,rent
Flipkart purchase - bluetooth headphone,electronics
doctor consult - fever bought because needed,health
Local Pharmacy - anti ageing serum purchase,personal_care
maintenance charges for flat ordered online,bills
credit card repayment,bills
Myntra online,shopping
Reliance Fresh,groceries
stationery purchase at Coursera bought because needed,education
College Fee - python course purchased from nearby store - Rs 199,education
Local Pharmacy,personal_care
TataCliq - Rs 100,electronics
monthly groceries from Grofers bought because needed,groceries
Apollo Pharmacy,health
gift box chocolates,gifts
new bedsheet purchase from Local Home Store bought because needed,home
bought T,shopping
monthly groceries from Nature's Basket,groceries
Beauty Store - anti ageing serum purchase,personal_care
engine oil change at HP Petrolpump - Rs 299,auto
Flipkart purchase,electronics
gift box chocolates ordered online,gifts
Maintenance - late fee payment,bills
mobile postpaid bill BSNL,utilities
Coursera - python course bought for home use,education
Ikea - home decor items - Rs 50,home
lab test at Practo bought for home use,health
bike service at Bikeman Garage,auto
anti ageing serum purchase,personal_care
Maintenance - credit card repayment,bills
Local Pharmacy - sunscreen spf 50 got it during sale,personal_care
fruits and veg purchase at Grofers bought for home use,groceries
water bill payment got it during sale,utilities
upi payment,finance
credit card repayment paid for,bills
College Fee,education
breakfast - paratha and chai bought for home use,food
Local Home Store,home
dinner at Local Dhabha with friends,food
fruits and veg purchase at DMart - Rs 1200,groceries
invoice paid,salary
mumma grocery - train booking via IRCTC ordered online - Rs 499,travel
perfume Sephora,personal_care
Croma - USB-C cable,electronics
Croma - tempered glass screen protector,electronics
MakeMyTrip - flight ticket to delhi,travel
bank transfer to friend,finance
new backpack from Zara,shopping
renewed subscription,subscription
home decor items,home
dinner at Swiggy with friends,food
Lifestyle - sneakers purchase purchased from nearby store - Rs 150,shopping
College Fee,education
train booking via IRCTC,travel
Local Home Store - floor cleaner and mop,home
Local Pharmacy - anti ageing serum purchase - Rs 299,personal_care
refund from amazon - pharmacy - Rs 1200,health
birthday gift for friend,gifts
got cashback from paytm - PVR movie ticket bought for home use,entertainment
face wash and moisturizer from Local Pharmacy,personal_care
Car Service Center - petrol full tank paid for,auto
loan EMI deduction,bills
Home Centre - kitchen utensils from Home Centre,home
McDonald's - pizza for dinner paid for,food
breakfast,food
internet recharge via Electricity Board,utilities
new bedsheet purchase from Local Home Store,home
mobile postpaid bill Electricity Board - Rs 100,utilities
Coursera - college fee payment,education
college canteen maggi - late night snack from McDonald's,food
Bikeman Garage - Rs 499,auto
late night snack from KFC,food
Gift Shop - birthday gift for friend,gifts
Cafe Coffee Day order,food
"bread, butter, cereal from Local Kirana paid for",groceries
Maintenance - loan EMI deduction,bills
Flower Store - bought flowers from Flower Store,gifts
late night snack from Swiggy,food
birthday gift for friend,gifts
freelance payment client xyz,salary
kitchen utensils from Local Home Store - Rs 199,home
Electricity Board - water bill payment,utilities
apartment rent monthly,rent
renewed subscription - Spotify,subscription
doctor consult - fever,health
bought flowers from Flower Store paid for,gifts
Amazon,electronics
Udemy - python course bought because needed,education
internet recharge via Water Supply,utilities
Beauty Store - perfume Beauty Store,personal_care
emi deducted - credit card repayment,bills
TataCliq purchase - bluetooth headphone,electronics
loan EMI deduction paid for,bills
Bikeman Garage - bike service at Bikeman Garage,auto
Shell Fuel - petrol full tank,auto
Reliance Digital purchase,electronics
face wash and moisturizer from Local Pharmacy,personal_care
maintenance charges for flat,bills
face wash and moisturizer from Sephora,personal_care
pharmacy - antibiotics ordered online,health
"Reliance Fresh - milk, eggs, vegetables paid for",groceries
